op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
FULLY_CONNECTED,12,6400.0,0.118645936,0.006750701,0.83634025,0.015353066,0.5331533,-128,Simple/dense/Tensordot;Simple/dense/Relu;Simple/dense/BiasAdd
RESHAPE,16,6400.0,0.0,0.0,0.0,0.0,0.5331533,-128,Simple/flatten/Reshape
FULLY_CONNECTED,20,10.0,5.369424,0.841266,10.075697,36.525867,23.878693,49,Simple/predictions/MatMul;Simple/predictions/BiasAdd
SOFTMAX,24,10.0,0.00032970752,0.00042656093,0.0013369776,1.6426558e-06,0.00390625,-128,StatefulPartitionedCall:0
