op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
RESHAPE,50,300.0,0.6016438,0.06856569,0.92107713,0.49340945,1.8470588,-128,Conv_LSTM/time_distributed_1/Reshape;Conv_LSTM/time_distributed/Reshape_1;Conv_LSTM/time_distributed/reshape_1/Reshape;Conv_LSTM/time_distributed/Reshape;Conv_LSTM/reshape/Reshape
CONV_2D,54,20480.0,0.06373599,-0.018666359,0.26715723,0.004653765,0.5322358,-128,Conv_LSTM/time_distributed_1/conv2d/Relu;Conv_LSTM/time_distributed_1/conv2d/BiasAdd;Conv_LSTM/time_distributed_2/conv2d_1/Conv2D;Conv_LSTM/time_distributed_1/conv2d/Conv2D;Conv_LSTM/time_distributed_1/conv2d/BiasAdd/ReadVariableOp
CONV_2D,58,7680.0,0.20762011,-0.06219304,1.0290576,0.051232964,2.0651422,-128,Conv_LSTM/time_distributed_2/conv2d_1/Relu;Conv_LSTM/time_distributed_2/conv2d_1/BiasAdd;Conv_LSTM/time_distributed_2/conv2d_1/Conv2D;Conv_LSTM/time_distributed_2/conv2d_1/BiasAdd/ReadVariableOp
CONV_2D,62,1280.0,0.5980538,-0.06508892,4.1658573,0.43262738,8.765622,-128,Conv_LSTM/time_distributed_3/conv2d_2/Relu;Conv_LSTM/time_distributed_3/conv2d_2/BiasAdd;Conv_LSTM/time_distributed_3/conv2d_2/Conv2D;Conv_LSTM/time_distributed_3/conv2d_2/BiasAdd/ReadVariableOp
RESHAPE,66,1280.0,0.0,0.0,0.0,0.0,8.765622,-128,Conv_LSTM/reshape_2/Reshape;Conv_LSTM/time_distributed_3/Reshape_1
UNIDIRECTIONAL_SEQUENCE_LSTM,82,1280.0,0.019959155,-0.0004919538,0.15306105,0.0016201489,0.007843138,-1,tfl.unidirectional_sequence_lstm
STRIDED_SLICE,86,64.0,0.0,0.0,0.0,0.0,0.007843138,-1,tfl.strided_slice
FULLY_CONNECTED,90,10.0,0.020034887,0.0007719679,0.035695862,0.0004664403,0.07257993,-29,Conv_LSTM/predictions/MatMul;Conv_LSTM/predictions/BiasAdd
SOFTMAX,94,10.0,0.0009662641,-0.00014140639,0.0017408347,1.1257655e-06,0.00390625,-128,StatefulPartitionedCall:0
