op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
UNIDIRECTIONAL_SEQUENCE_LSTM,47,3200.0,0.012534364,0.00033662163,0.11908188,0.0002823223,0.007843138,-1,tfl.unidirectional_sequence_lstm
RESHAPE,51,3200.0,0.0,0.0,0.0,0.0,0.007843138,-1,LSTM_Stateless/flatten_5/Reshape
FULLY_CONNECTED,55,10.0,0.09953359,0.0009717383,0.1881778,0.024808152,0.32193664,29,LSTM_Stateless/predictions/MatMul;LSTM_Stateless/predictions/BiasAdd
SOFTMAX,59,10.0,0.00074710156,-0.00016484347,0.0021107912,7.251244e-07,0.00390625,-128,StatefulPartitionedCall:0
